Income,Ethnicity,Neighborhood

6.7864,1,11

10.0463,1,14

9.7800,1,16

13.4853,1,17

10.5716,1,11

6.5115,1,9

11.3131,1,14

7.8049,1,17

11.6945,1,12

9.7928,1,1

11.4544,1,20

8.9839,1,18

8.8552,1,6

8.3535,1,6

8.5279,1,14

10.7729,1,19

9.0894,1,12

7.3475,1,2

7.6364,1,13

5.8448,1,3

15.6321,1,12

11.4359,1,4

10.8622,1,20

9.4212,1,20

5.8168,1,18

13.3354,1,6

12.9279,1,10

13.9493,1,2

11.1889,1,12

15.3319,1,18

7.9466,1,10

16.5823,1,10

10.9356,1,12

9.0034,1,13

9.5630,1,14

14.7569,1,17

12.2497,1,1

10.5216,1,15

9.9513,1,4

15.7224,1,19

7.7158,2,9

9.3161,2,11

5.6691,2,17

9.1471,2,10

7.4871,2,14

11.2721,2,8

7.5874,2,5

4.1572,2,15

7.9554,2,2

6.6567,2,19

10.1280,2,17

6.8636,2,7

6.4672,2,19

8.2277,2,13

8.2933,2,3

7.1531,2,15

10.2633,2,18

10.9336,2,3

7.8944,2,8

11.2933,2,16

5.6350,2,1

8.0588,2,19

9.4347,2,15

6.8220,2,13

8.2292,2,9

8.9321,2,4

8.7017,2,8

7.0860,2,20

7.9087,2,5

8.7900,2,9

11.4247,2,10

7.6049,2,7

10.0645,2,7

10.9721,2,1

4.7576,2,2

7.9196,2,16

9.3044,2,2

7.0328,2,7

9.8144,2,11

9.6242,2,9

6.2020,3,19

6.2602,3,4

5.8258,3,3

7.9397,3,18

7.5944,3,11

6.5985,3,5

8.4740,3,4

9.5339,3,13

11.0974,3,8

7.9592,3,16

7.2949,3,5

7.4267,3,7

7.1549,3,5

7.4041,3,3

5.9353,3,6

7.2861,3,16

7.1484,3,15

4.8754,3,1

5.5599,3,6

6.4664,3,8

